size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.19,0.00,0.00,0
0,0,float,sum,-1,0.21,0.00,0.00,0
4,1,float,sum,-1,17.37,0.00,0.00,0
8,2,float,sum,-1,17.23,0.00,0.00,0
16,4,float,sum,-1,17.03,0.00,0.00,0
32,8,float,sum,-1,17.10,0.00,0.00,0
64,16,float,sum,-1,17.25,0.00,0.01,0
128,32,float,sum,-1,17.36,0.01,0.01,0
256,64,float,sum,-1,17.69,0.01,0.03,0
512,128,float,sum,-1,18.16,0.03,0.05,0
1024,256,float,sum,-1,18.92,0.05,0.09,0
2048,512,float,sum,-1,19.14,0.11,0.19,0
4096,1024,float,sum,-1,19.15,0.21,0.37,0
8192,2048,float,sum,-1,19.92,0.41,0.72,0
16384,4096,float,sum,-1,19.88,0.82,1.44,0
32768,8192,float,sum,-1,20.03,1.64,2.86,0
65536,16384,float,sum,-1,20.09,3.26,5.71,0
131072,32768,float,sum,-1,20.23,6.48,11.34,0
262144,65536,float,sum,-1,20.75,12.63,22.10,0
524288,131072,float,sum,-1,22.70,23.10,40.42,0
1048576,262144,float,sum,-1,27.08,38.72,67.76,0
2097152,524288,float,sum,-1,39.20,53.50,93.62,0
4194304,1048576,float,sum,-1,60.33,69.52,121.66,0
8388608,2097152,float,sum,-1,104.7,80.13,140.22,0
16777216,4194304,float,sum,-1,185.1,90.63,158.60,0
33554432,8388608,float,sum,-1,341.7,98.21,171.87,0
67108864,16777216,float,sum,-1,656.7,102.20,178.84,0
134217728,33554432,float,sum,-1,1301.6,103.12,180.46,0
