size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.20,0.00,0.00,0
0,0,float,sum,-1,0.20,0.00,0.00,0
4,1,float,sum,-1,17.49,0.00,0.00,0
8,2,float,sum,-1,17.28,0.00,0.00,0
16,4,float,sum,-1,17.24,0.00,0.00,0
32,8,float,sum,-1,17.31,0.00,0.00,0
64,16,float,sum,-1,17.38,0.00,0.01,0
128,32,float,sum,-1,17.54,0.01,0.01,0
256,64,float,sum,-1,17.91,0.01,0.03,0
512,128,float,sum,-1,18.50,0.03,0.05,0
1024,256,float,sum,-1,18.90,0.05,0.09,0
2048,512,float,sum,-1,19.38,0.11,0.18,0
4096,1024,float,sum,-1,21.21,0.19,0.34,0
8192,2048,float,sum,-1,23.52,0.35,0.61,0
16384,4096,float,sum,-1,27.77,0.59,1.03,0
32768,8192,float,sum,-1,28.12,1.17,2.04,0
65536,16384,float,sum,-1,28.23,2.32,4.06,0
131072,32768,float,sum,-1,28.33,4.63,8.10,0
262144,65536,float,sum,-1,28.63,9.16,16.02,0
524288,131072,float,sum,-1,49.81,10.53,18.42,0
1048576,262144,float,sum,-1,53.32,19.66,34.41,0
2097152,524288,float,sum,-1,60.11,34.89,61.05,0
4194304,1048576,float,sum,-1,76.65,54.72,95.77,0
8388608,2097152,float,sum,-1,100.4,83.55,146.22,0
16777216,4194304,float,sum,-1,155.3,108.00,189.00,0
33554432,8388608,float,sum,-1,240.0,139.82,244.68,0
67108864,16777216,float,sum,-1,426.5,157.35,275.36,0
