size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.20,0.00,0.00,0
0,0,float,sum,-1,0.20,0.00,0.00,0
4,1,float,sum,-1,17.17,0.00,0.00,0
8,2,float,sum,-1,17.20,0.00,0.00,0
16,4,float,sum,-1,17.21,0.00,0.00,0
32,8,float,sum,-1,17.17,0.00,0.00,0
64,16,float,sum,-1,17.44,0.00,0.01,0
128,32,float,sum,-1,17.41,0.01,0.01,0
256,64,float,sum,-1,17.70,0.01,0.03,0
512,128,float,sum,-1,12.47,0.04,0.07,0
1024,256,float,sum,-1,12.40,0.08,0.14,0
2048,512,float,sum,-1,12.14,0.17,0.30,0
4096,1024,float,sum,-1,12.96,0.32,0.55,0
8192,2048,float,sum,-1,13.11,0.62,1.09,0
16384,4096,float,sum,-1,12.80,1.28,2.24,0
32768,8192,float,sum,-1,13.18,2.49,4.35,0
65536,16384,float,sum,-1,15.57,4.21,7.37,0
131072,32768,float,sum,-1,20.18,6.49,11.37,0
262144,65536,float,sum,-1,29.50,8.88,15.55,0
524288,131072,float,sum,-1,50.30,10.42,18.24,0
1048576,262144,float,sum,-1,92.96,11.28,19.74,0
2097152,524288,float,sum,-1,178.6,11.74,20.55,0
4194304,1048576,float,sum,-1,353.1,11.88,20.79,0
8388608,2097152,float,sum,-1,703.7,11.92,20.86,0
16777216,4194304,float,sum,-1,1401.4,11.97,20.95,0
33554432,8388608,float,sum,-1,2794.3,12.01,21.01,0
67108864,16777216,float,sum,-1,5572.6,12.04,21.07,0
134217728,33554432,float,sum,-1,11158,12.03,21.05,0
268435456,67108864,float,sum,-1,22472,11.95,20.90,0
536870912,134217728,float,sum,-1,45072,11.91,20.84,0
1073741824,268435456,float,sum,-1,90170,11.91,20.84,0
2147483648,536870912,float,sum,-1,180204,11.92,20.85,0
4294967296,1073741824,float,sum,-1,359527,11.95,20.91,0
