size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.00,0.01,0.01,0
256,8,float,none,-1,17.70,0.01,0.01,0
512,16,float,none,-1,17.56,0.03,0.03,0
1024,32,float,none,-1,17.69,0.06,0.05,0
2048,64,float,none,-1,18.15,0.11,0.10,0
4096,128,float,none,-1,18.21,0.22,0.20,0
8192,256,float,none,-1,18.50,0.44,0.39,0
16384,512,float,none,-1,18.93,0.87,0.76,0
32768,1024,float,none,-1,19.50,1.68,1.47,0
65536,2048,float,none,-1,19.41,3.38,2.95,0
131072,4096,float,none,-1,19.50,6.72,5.88,0
262144,8192,float,none,-1,19.39,13.52,11.83,0
524288,16384,float,none,-1,33.21,15.79,13.81,0
1048576,32768,float,none,-1,35.38,29.64,25.93,0
2097152,65536,float,none,-1,39.60,52.95,46.33,0
4194304,131072,float,none,-1,47.05,89.15,78.00,0
8388608,262144,float,none,-1,59.94,139.94,122.45,0
16777216,524288,float,none,-1,96.21,174.37,152.58,0
33554432,1048576,float,none,-1,142.0,236.32,206.78,0
67108864,2097152,float,none,-1,235.8,284.64,249.06,0
134217728,4194304,float,none,-1,423.8,316.67,277.09,0
268435456,8388608,float,none,-1,805.2,333.38,291.70,0
536870912,16777216,float,none,-1,1566.6,342.70,299.86,0
1073741824,33554432,float,none,-1,3074.0,349.30,305.63,0
2147483648,67108864,float,none,-1,6081.3,353.13,308.99,0
4294967296,134217728,float,none,-1,12134,353.97,309.73,0
