size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.20,0.00,0.00,0
0,0,float,sum,-1,0.19,0.00,0.00,0
4,1,float,sum,-1,17.53,0.00,0.00,0
8,2,float,sum,-1,17.36,0.00,0.00,0
16,4,float,sum,-1,17.25,0.00,0.00,0
32,8,float,sum,-1,17.29,0.00,0.00,0
64,16,float,sum,-1,17.40,0.00,0.01,0
128,32,float,sum,-1,17.62,0.01,0.01,0
256,64,float,sum,-1,18.01,0.01,0.02,0
512,128,float,sum,-1,18.77,0.03,0.05,0
1024,256,float,sum,-1,19.03,0.05,0.09,0
2048,512,float,sum,-1,19.57,0.10,0.18,0
4096,1024,float,sum,-1,21.05,0.19,0.34,0
8192,2048,float,sum,-1,23.47,0.35,0.61,0
16384,4096,float,sum,-1,27.66,0.59,1.04,0
32768,8192,float,sum,-1,28.04,1.17,2.05,0
65536,16384,float,sum,-1,28.17,2.33,4.07,0
131072,32768,float,sum,-1,28.32,4.63,8.10,0
262144,65536,float,sum,-1,28.73,9.12,15.97,0
524288,131072,float,sum,-1,49.92,10.50,18.38,0
1048576,262144,float,sum,-1,53.65,19.55,34.20,0
2097152,524288,float,sum,-1,60.01,34.95,61.16,0
4194304,1048576,float,sum,-1,76.61,54.75,95.81,0
8388608,2097152,float,sum,-1,100.2,83.72,146.50,0
16777216,4194304,float,sum,-1,155.2,108.13,189.23,0
33554432,8388608,float,sum,-1,240.5,139.51,244.14,0
67108864,16777216,float,sum,-1,427.2,157.10,274.92,0
134217728,33554432,float,sum,-1,797.2,168.36,294.62,0
268435456,67108864,float,sum,-1,1540.5,174.25,304.94,0
536870912,134217728,float,sum,-1,3027.9,177.31,310.29,0
1073741824,268435456,float,sum,-1,5964.4,180.02,315.04,0
2147483648,536870912,float,sum,-1,11890,180.62,316.08,0
4294967296,1073741824,float,sum,-1,23729,181.00,316.75,0
