size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.10,0.01,0.01,0
256,8,float,none,-1,17.75,0.01,0.01,0
512,16,float,none,-1,17.64,0.03,0.03,0
1024,32,float,none,-1,17.66,0.06,0.05,0
2048,64,float,none,-1,18.18,0.11,0.10,0
4096,128,float,none,-1,18.34,0.22,0.20,0
8192,256,float,none,-1,18.54,0.44,0.39,0
16384,512,float,none,-1,19.01,0.86,0.75,0
32768,1024,float,none,-1,19.42,1.69,1.48,0
65536,2048,float,none,-1,19.29,3.40,2.97,0
131072,4096,float,none,-1,19.47,6.73,5.89,0
262144,8192,float,none,-1,19.35,13.55,11.86,0
524288,16384,float,none,-1,33.39,15.70,13.74,0
1048576,32768,float,none,-1,35.44,29.59,25.89,0
2097152,65536,float,none,-1,39.49,53.11,46.47,0
4194304,131072,float,none,-1,47.10,89.05,77.91,0
8388608,262144,float,none,-1,59.89,140.08,122.57,0
16777216,524288,float,none,-1,96.13,174.53,152.72,0
33554432,1048576,float,none,-1,142.3,235.78,206.30,0
67108864,2097152,float,none,-1,235.9,284.46,248.90,0
134217728,4194304,float,none,-1,423.9,316.65,277.06,0
268435456,8388608,float,none,-1,807.5,332.41,290.86,0
536870912,16777216,float,none,-1,1568.7,342.24,299.46,0
1073741824,33554432,float,none,-1,3078.6,348.78,305.18,0
2147483648,67108864,float,none,-1,6088.9,352.69,308.60,0
4294967296,134217728,float,none,-1,12089,355.28,310.87,0
