size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
128,4,float,none,-1,10.71,0.01,0.01,0
256,8,float,none,-1,10.69,0.02,0.02,0
512,16,float,none,-1,10.63,0.05,0.04,0
1024,32,float,none,-1,10.65,0.10,0.08,0
2048,64,float,none,-1,10.79,0.19,0.17,0
4096,128,float,none,-1,10.68,0.38,0.34,0
8192,256,float,none,-1,10.75,0.76,0.67,0
16384,512,float,none,-1,10.79,1.52,1.33,0
32768,1024,float,none,-1,11.40,2.87,2.51,0
65536,2048,float,none,-1,11.09,5.91,5.17,0
131072,4096,float,none,-1,11.43,11.46,10.03,0
262144,8192,float,none,-1,13.07,20.05,17.54,0
524288,16384,float,none,-1,17.86,29.36,25.69,0
1048576,32768,float,none,-1,24.47,42.86,37.50,0
2097152,65536,float,none,-1,37.07,56.57,49.50,0
4194304,131072,float,none,-1,61.17,68.56,59.99,0
8388608,262144,float,none,-1,110.9,75.64,66.18,0
16777216,524288,float,none,-1,205.2,81.78,71.56,0
33554432,1048576,float,none,-1,405.8,82.69,72.35,0
67108864,2097152,float,none,-1,801.6,83.72,73.25,0
134217728,4194304,float,none,-1,1595.8,84.11,73.60,0
268435456,8388608,float,none,-1,3182.7,84.34,73.80,0
536870912,16777216,float,none,-1,6364.4,84.36,73.81,0
1073741824,33554432,float,none,-1,12724,84.39,73.84,0
2147483648,67108864,float,none,-1,25440,84.41,73.86,0
4294967296,134217728,float,none,-1,50858,84.45,73.89,0
