size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.16,0.01,0.01,0
256,8,float,none,-1,17.77,0.01,0.01,0
512,16,float,none,-1,17.63,0.03,0.03,0
1024,32,float,none,-1,17.71,0.06,0.05,0
2048,64,float,none,-1,18.27,0.11,0.10,0
4096,128,float,none,-1,18.39,0.22,0.19,0
8192,256,float,none,-1,18.56,0.44,0.39,0
16384,512,float,none,-1,18.91,0.87,0.76,0
32768,1024,float,none,-1,19.54,1.68,1.47,0
65536,2048,float,none,-1,19.46,3.37,2.95,0
131072,4096,float,none,-1,19.71,6.65,5.82,0
262144,8192,float,none,-1,19.64,13.35,11.68,0
524288,16384,float,none,-1,33.16,15.81,13.84,0
1048576,32768,float,none,-1,35.31,29.69,25.98,0
2097152,65536,float,none,-1,39.45,53.16,46.52,0
4194304,131072,float,none,-1,47.07,89.10,77.96,0
8388608,262144,float,none,-1,60.02,139.78,122.30,0
16777216,524288,float,none,-1,96.33,174.17,152.40,0
33554432,1048576,float,none,-1,142.0,236.36,206.82,0
67108864,2097152,float,none,-1,236.1,284.25,248.72,0
134217728,4194304,float,none,-1,424.4,316.24,276.71,0
268435456,8388608,float,none,-1,808.6,331.99,290.49,0
536870912,16777216,float,none,-1,1570.7,341.81,299.09,0
1073741824,33554432,float,none,-1,3084.3,348.13,304.62,0
2147483648,67108864,float,none,-1,6093.3,352.43,308.38,0
4294967296,134217728,float,none,-1,12093,355.17,310.77,0
