size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.20,0.00,0.00,0
0,0,float,sum,-1,0.20,0.00,0.00,0
4,1,float,sum,-1,17.12,0.00,0.00,0
8,2,float,sum,-1,17.18,0.00,0.00,0
16,4,float,sum,-1,16.95,0.00,0.00,0
32,8,float,sum,-1,17.00,0.00,0.00,0
64,16,float,sum,-1,17.03,0.00,0.01,0
128,32,float,sum,-1,17.23,0.01,0.01,0
256,64,float,sum,-1,17.53,0.01,0.03,0
512,128,float,sum,-1,224.3,0.00,0.00,0
1024,256,float,sum,-1,224.2,0.00,0.01,0
2048,512,float,sum,-1,224.1,0.01,0.02,0
4096,1024,float,sum,-1,224.9,0.02,0.03,0
8192,2048,float,sum,-1,224.7,0.04,0.06,0
16384,4096,float,sum,-1,224.0,0.07,0.13,0
32768,8192,float,sum,-1,225.9,0.15,0.25,0
65536,16384,float,sum,-1,226.4,0.29,0.51,0
131072,32768,float,sum,-1,230.1,0.57,1.00,0
262144,65536,float,sum,-1,237.5,1.10,1.93,0
524288,131072,float,sum,-1,260.7,2.01,3.52,0
1048576,262144,float,sum,-1,304.7,3.44,6.02,0
2097152,524288,float,sum,-1,364.3,5.76,10.07,0
4194304,1048576,float,sum,-1,516.8,8.12,14.20,0
8388608,2097152,float,sum,-1,798.1,10.51,18.39,0
16777216,4194304,float,sum,-1,1286.8,13.04,22.82,0
33554432,8388608,float,sum,-1,2280.8,14.71,25.75,0
67108864,16777216,float,sum,-1,4277.8,15.69,27.45,0
134217728,33554432,float,sum,-1,8227.1,16.31,28.55,0
268435456,67108864,float,sum,-1,16824,15.96,27.92,0
536870912,134217728,float,sum,-1,33143,16.20,28.35,0
1073741824,268435456,float,sum,-1,65497,16.39,28.69,0
2147483648,536870912,float,sum,-1,130037,16.51,28.90,0
4294967296,1073741824,float,sum,-1,257133,16.70,29.23,0
