size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,10.59,0.01,0.01,0
256,8,float,none,-1,10.65,0.02,0.02,0
512,16,float,none,-1,10.48,0.05,0.04,0
1024,32,float,none,-1,10.49,0.10,0.09,0
2048,64,float,none,-1,11.10,0.18,0.16,0
4096,128,float,none,-1,10.09,0.41,0.36,0
8192,256,float,none,-1,10.79,0.76,0.66,0
16384,512,float,none,-1,10.12,1.62,1.42,0
32768,1024,float,none,-1,10.79,3.04,2.66,0
65536,2048,float,none,-1,10.28,6.37,5.58,0
131072,4096,float,none,-1,10.96,11.96,10.46,0
262144,8192,float,none,-1,10.66,24.59,21.52,0
524288,16384,float,none,-1,12.14,43.20,37.80,0
1048576,32768,float,none,-1,13.92,75.32,65.91,0
2097152,65536,float,none,-1,20.00,104.85,91.74,0
4194304,131072,float,none,-1,28.93,145.00,126.87,0
8388608,262144,float,none,-1,47.07,178.23,155.95,0
16777216,524288,float,none,-1,83.24,201.55,176.36,0
33554432,1048576,float,none,-1,155.3,216.07,189.06,0
67108864,2097152,float,none,-1,296.3,226.45,198.15,0
134217728,4194304,float,none,-1,567.8,236.37,206.82,0
268435456,8388608,float,none,-1,1088.4,246.63,215.80,0
536870912,16777216,float,none,-1,2127.4,252.36,220.82,0
1073741824,33554432,float,none,-1,4150.6,258.70,226.36,0
2147483648,67108864,float,none,-1,8151.9,263.43,230.50,0
4294967296,134217728,float,none,-1,16209,264.98,231.86,0
