size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,9.31,0.01,0.01,0
256,8,float,none,-1,9.56,0.03,0.02,0
512,16,float,none,-1,9.93,0.05,0.05,0
1024,32,float,none,-1,9.74,0.11,0.09,0
2048,64,float,none,-1,9.80,0.21,0.18,0
4096,128,float,none,-1,9.75,0.42,0.37,0
8192,256,float,none,-1,9.47,0.86,0.76,0
16384,512,float,none,-1,9.54,1.72,1.50,0
32768,1024,float,none,-1,10.26,3.19,2.79,0
65536,2048,float,none,-1,10.58,6.20,5.42,0
131072,4096,float,none,-1,15.14,8.66,7.57,0
262144,8192,float,none,-1,25.84,10.14,8.88,0
524288,16384,float,none,-1,47.24,11.10,9.71,0
1048576,32768,float,none,-1,90.07,11.64,10.19,0
2097152,65536,float,none,-1,176.4,11.89,10.40,0
4194304,131072,float,none,-1,347.5,12.07,10.56,0
8388608,262144,float,none,-1,691.1,12.14,10.62,0
16777216,524288,float,none,-1,1375.6,12.20,10.67,0
33554432,1048576,float,none,-1,2743.1,12.23,10.70,0
67108864,2097152,float,none,-1,5472.8,12.26,10.73,0
134217728,4194304,float,none,-1,10912,12.30,10.76,0
268435456,8388608,float,none,-1,21873,12.27,10.74,0
536870912,16777216,float,none,-1,43752,12.27,10.74,0
1073741824,33554432,float,none,-1,87176,12.32,10.78,0
2147483648,67108864,float,none,-1,174385,12.31,10.78,0
4294967296,134217728,float,none,-1,348808,12.31,10.77,0
