size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
128,4,float,none,-1,18.11,0.01,0.01,0
256,8,float,none,-1,17.76,0.01,0.01,0
512,16,float,none,-1,17.64,0.03,0.03,0
1024,32,float,none,-1,17.64,0.06,0.05,0
2048,64,float,none,-1,18.14,0.11,0.10,0
4096,128,float,none,-1,18.35,0.22,0.20,0
8192,256,float,none,-1,18.57,0.44,0.39,0
16384,512,float,none,-1,18.98,0.86,0.76,0
32768,1024,float,none,-1,19.19,1.71,1.49,0
65536,2048,float,none,-1,19.17,3.42,2.99,0
131072,4096,float,none,-1,19.40,6.76,5.91,0
262144,8192,float,none,-1,19.47,13.47,11.78,0
524288,16384,float,none,-1,33.34,15.72,13.76,0
1048576,32768,float,none,-1,35.37,29.65,25.94,0
2097152,65536,float,none,-1,39.44,53.17,46.52,0
4194304,131072,float,none,-1,47.01,89.23,78.08,0
8388608,262144,float,none,-1,59.88,140.08,122.57,0
16777216,524288,float,none,-1,96.05,174.68,152.84,0
33554432,1048576,float,none,-1,142.0,236.37,206.82,0
67108864,2097152,float,none,-1,235.7,284.69,249.10,0
134217728,4194304,float,none,-1,423.5,316.96,277.34,0
268435456,8388608,float,none,-1,805.9,333.08,291.45,0
536870912,16777216,float,none,-1,1565.1,343.02,300.14,0
1073741824,33554432,float,none,-1,3074.6,349.23,305.58,0
2147483648,67108864,float,none,-1,6086.1,352.85,308.74,0
4294967296,134217728,float,none,-1,12131,354.06,309.80,0
