size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.19,0.01,0.01,0
256,8,float,none,-1,17.71,0.01,0.01,0
512,16,float,none,-1,17.67,0.03,0.03,0
1024,32,float,none,-1,17.78,0.06,0.05,0
2048,64,float,none,-1,18.20,0.11,0.10,0
4096,128,float,none,-1,18.31,0.22,0.20,0
8192,256,float,none,-1,18.50,0.44,0.39,0
16384,512,float,none,-1,18.96,0.86,0.76,0
32768,1024,float,none,-1,19.22,1.70,1.49,0
65536,2048,float,none,-1,19.21,3.41,2.99,0
131072,4096,float,none,-1,19.43,6.75,5.90,0
262144,8192,float,none,-1,19.49,13.45,11.77,0
524288,16384,float,none,-1,33.30,15.74,13.78,0
1048576,32768,float,none,-1,35.47,29.57,25.87,0
2097152,65536,float,none,-1,39.40,53.23,46.57,0
4194304,131072,float,none,-1,46.95,89.33,78.16,0
8388608,262144,float,none,-1,60.02,139.76,122.29,0
16777216,524288,float,none,-1,95.92,174.91,153.05,0
33554432,1048576,float,none,-1,142.4,235.66,206.20,0
67108864,2097152,float,none,-1,235.8,284.62,249.04,0
134217728,4194304,float,none,-1,424.2,316.41,276.86,0
268435456,8388608,float,none,-1,806.0,333.03,291.40,0
536870912,16777216,float,none,-1,1569.4,342.08,299.32,0
1073741824,33554432,float,none,-1,3082.5,348.34,304.79,0
2147483648,67108864,float,none,-1,6094.0,352.39,308.35,0
4294967296,134217728,float,none,-1,12093,355.15,310.76,0
