size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.20,0.00,0.00,0
0,0,float,sum,-1,0.20,0.00,0.00,0
4,1,float,sum,-1,17.40,0.00,0.00,0
8,2,float,sum,-1,17.36,0.00,0.00,0
16,4,float,sum,-1,17.33,0.00,0.00,0
32,8,float,sum,-1,17.37,0.00,0.00,0
64,16,float,sum,-1,17.44,0.00,0.01,0
128,32,float,sum,-1,17.57,0.01,0.01,0
256,64,float,sum,-1,32.46,0.01,0.01,0
512,128,float,sum,-1,19.57,0.03,0.05,0
1024,256,float,sum,-1,19.51,0.05,0.09,0
2048,512,float,sum,-1,19.35,0.11,0.19,0
4096,1024,float,sum,-1,19.90,0.21,0.36,0
8192,2048,float,sum,-1,20.02,0.41,0.72,0
16384,4096,float,sum,-1,19.70,0.83,1.46,0
32768,8192,float,sum,-1,20.03,1.64,2.86,0
65536,16384,float,sum,-1,20.04,3.27,5.72,0
131072,32768,float,sum,-1,20.33,6.45,11.28,0
262144,65536,float,sum,-1,21.15,12.39,21.69,0
524288,131072,float,sum,-1,24.72,21.21,37.12,0
1048576,262144,float,sum,-1,35.41,29.61,51.82,0
2097152,524288,float,sum,-1,51.32,40.87,71.52,0
4194304,1048576,float,sum,-1,85.58,49.01,85.77,0
8388608,2097152,float,sum,-1,150.3,55.81,97.66,0
16777216,4194304,float,sum,-1,274.2,61.20,107.09,0
33554432,8388608,float,sum,-1,511.4,65.61,114.81,0
67108864,16777216,float,sum,-1,1008.0,66.57,116.50,0
