size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
128,4,float,none,-1,213.8,0.00,0.00,0
256,8,float,none,-1,214.1,0.00,0.00,0
512,16,float,none,-1,213.7,0.00,0.00,0
1024,32,float,none,-1,214.0,0.00,0.00,0
2048,64,float,none,-1,214.6,0.01,0.01,0
4096,128,float,none,-1,214.0,0.02,0.02,0
8192,256,float,none,-1,213.5,0.04,0.03,0
16384,512,float,none,-1,213.7,0.08,0.07,0
32768,1024,float,none,-1,214.1,0.15,0.13,0
65536,2048,float,none,-1,214.4,0.31,0.27,0
131072,4096,float,none,-1,214.7,0.61,0.53,0
262144,8192,float,none,-1,216.3,1.21,1.06,0
524288,16384,float,none,-1,220.1,2.38,2.08,0
1048576,32768,float,none,-1,225.5,4.65,4.07,0
2097152,65536,float,none,-1,242.0,8.66,7.58,0
4194304,131072,float,none,-1,290.1,14.46,12.65,0
8388608,262144,float,none,-1,348.2,24.09,21.08,0
16777216,524288,float,none,-1,464.6,36.11,31.59,0
33554432,1048576,float,none,-1,705.3,47.58,41.63,0
67108864,2097152,float,none,-1,1193.6,56.22,49.20,0
134217728,4194304,float,none,-1,2150.6,62.41,54.61,0
268435456,8388608,float,none,-1,4076.2,65.85,57.62,0
536870912,16777216,float,none,-1,7914.9,67.83,59.35,0
1073741824,33554432,float,none,-1,15991,67.15,58.75,0
2147483648,67108864,float,none,-1,31392,68.41,59.86,0
4294967296,134217728,float,none,-1,62227,69.02,60.39,0
