size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.20,0.00,0.00,0
0,0,float,sum,-1,0.19,0.00,0.00,0
4,1,float,sum,-1,17.28,0.00,0.00,0
8,2,float,sum,-1,17.01,0.00,0.00,0
16,4,float,sum,-1,17.01,0.00,0.00,0
32,8,float,sum,-1,17.07,0.00,0.00,0
64,16,float,sum,-1,17.15,0.00,0.01,0
128,32,float,sum,-1,17.38,0.01,0.01,0
256,64,float,sum,-1,17.70,0.01,0.03,0
512,128,float,sum,-1,18.30,0.03,0.05,0
1024,256,float,sum,-1,18.72,0.05,0.10,0
2048,512,float,sum,-1,19.26,0.11,0.19,0
4096,1024,float,sum,-1,20.96,0.20,0.34,0
8192,2048,float,sum,-1,23.59,0.35,0.61,0
16384,4096,float,sum,-1,27.79,0.59,1.03,0
32768,8192,float,sum,-1,28.28,1.16,2.03,0
65536,16384,float,sum,-1,28.34,2.31,4.05,0
131072,32768,float,sum,-1,28.47,4.60,8.06,0
262144,65536,float,sum,-1,28.75,9.12,15.96,0
524288,131072,float,sum,-1,49.72,10.54,18.45,0
1048576,262144,float,sum,-1,53.28,19.68,34.44,0
2097152,524288,float,sum,-1,60.03,34.94,61.14,0
4194304,1048576,float,sum,-1,76.67,54.71,95.74,0
8388608,2097152,float,sum,-1,100.3,83.65,146.38,0
16777216,4194304,float,sum,-1,155.5,107.90,188.83,0
33554432,8388608,float,sum,-1,239.7,140.00,245.01,0
67108864,16777216,float,sum,-1,426.9,157.20,275.11,0
134217728,33554432,float,sum,-1,797.1,168.39,294.68,0
268435456,67108864,float,sum,-1,1543.2,173.94,304.40,0
536870912,134217728,float,sum,-1,3038.1,176.71,309.24,0
1073741824,268435456,float,sum,-1,5978.6,179.60,314.30,0
2147483648,536870912,float,sum,-1,11896,180.53,315.92,0
4294967296,1073741824,float,sum,-1,23755,180.80,316.40,0
