op_name,mode,ranks,pid,tid,eid,start_time_us,end_time_us,dur_us,op_type,input_dims,input_dtype
all_reduce,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,0,13018.577359616756,13018.577359616756,0,comm,"[8, 2048, 576]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,1,13741.190312430263,13741.190312430263,0,comm,"[8, 256, 16, 256]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,2,22550.173103809357,22550.173103809357,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,3,22730.201249942183,22730.201249942183,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,4,23020.374355837703,23020.374355837703,0,comm,"[16, 1, 2048, 128]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,5,23555.93629181385,23555.93629181385,0,comm,"[16, 8, 256, 192]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,6,23943.351348862052,23943.351348862052,0,comm,"[16, 2048, 1, 192]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,7,24474.344216287136,24474.344216287136,0,comm,"[8, 2048, 2, 192]",torch.bfloat16
all_reduce,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,8,27692.194562405348,27692.194562405348,0,comm,"[8, 2048, 2048]",torch.bfloat16
all_reduce,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,9,28935.551876202226,28935.551876202226,0,comm,"[8, 2048, 576]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,10,29599.204193800688,29599.204193800688,0,comm,"[8, 256, 16, 256]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,11,31908.941455185413,31908.941455185413,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,12,32080.39258606732,32080.39258606732,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,13,32368.721906095743,32368.721906095743,0,comm,"[16, 1, 2048, 128]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,14,32902.47078984976,32902.47078984976,0,comm,"[16, 8, 256, 192]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,15,33283.744007349014,33283.744007349014,0,comm,"[16, 2048, 1, 192]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,16,33796.19400948286,33796.19400948286,0,comm,"[8, 2048, 2, 192]",torch.bfloat16
all_reduce,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,17,54338.59722688794,54338.59722688794,0,comm,"[8, 2048, 2048]",torch.bfloat16
all_reduce,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,18,54450.99715143442,54450.99715143442,0,comm,"[8, 2048, 2048]",torch.bfloat16
all_reduce,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,19,55836.8016500026,55836.8016500026,0,comm,"[8, 2048, 576]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,20,56473.653530701995,56473.653530701995,0,comm,"[8, 256, 16, 256]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,21,58761.67630776763,58761.67630776763,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,22,58931.30344338715,58931.30344338715,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
