op_name,mode,ranks,pid,tid,eid,start_time_us,end_time_us,dur_us,op_type,input_dims,input_dtype
all_reduce,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,0,15587.7317301929,15587.7317301929,0,comm,"[8, 2048, 576]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,1,20369.179779663682,20369.179779663682,0,comm,"[8, 256, 16, 256]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,2,44509.248808026314,44509.248808026314,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,3,47043.13166439533,47043.13166439533,0,comm,"[8, 1, 2048, 8]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,4,54135.78380830586,54135.78380830586,0,comm,"[16, 1, 2048, 128]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,5,61059.39205735922,61059.39205735922,0,comm,"[16, 8, 256, 192]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,6,63801.63412541151,63801.63412541151,0,comm,"[16, 2048, 1, 192]",torch.bfloat16
all_gather,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,7,68861.28312908113,68861.28312908113,0,comm,"[8, 2048, 2, 192]",torch.bfloat16
all_reduce,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,8,91828.3446226269,91828.3446226269,0,comm,"[8, 2048, 2048]",torch.bfloat16
all_reduce,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,9,101696.06003910303,101696.06003910303,0,comm,"[8, 2048, 576]",torch.bfloat16
all_to_all_single,forward,"[56, 57, 58, 59, 60, 61, 62, 63]",0,0,10,106559.11103822291,106559.11103822291,0,comm,"[8, 256, 16, 256]",torch.bfloat16
