size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,17.88,0.01,0.01,0
256,8,float,none,-1,17.54,0.01,0.01,0
512,16,float,none,-1,17.42,0.03,0.03,0
1024,32,float,none,-1,17.41,0.06,0.05,0
2048,64,float,none,-1,17.97,0.11,0.10,0
4096,128,float,none,-1,18.11,0.23,0.20,0
8192,256,float,none,-1,18.31,0.45,0.39,0
16384,512,float,none,-1,18.71,0.88,0.77,0
32768,1024,float,none,-1,19.41,1.69,1.48,0
65536,2048,float,none,-1,19.51,3.36,2.94,0
131072,4096,float,none,-1,19.51,6.72,5.88,0
262144,8192,float,none,-1,19.41,13.51,11.82,0
524288,16384,float,none,-1,33.20,15.79,13.82,0
1048576,32768,float,none,-1,35.34,29.67,25.96,0
2097152,65536,float,none,-1,39.38,53.26,46.60,0
4194304,131072,float,none,-1,47.06,89.13,77.99,0
8388608,262144,float,none,-1,59.77,140.36,122.81,0
16777216,524288,float,none,-1,96.26,174.28,152.50,0
33554432,1048576,float,none,-1,142.6,235.28,205.87,0
67108864,2097152,float,none,-1,236.4,283.85,248.37,0
134217728,4194304,float,none,-1,423.4,316.96,277.34,0
268435456,8388608,float,none,-1,806.7,332.75,291.15,0
536870912,16777216,float,none,-1,1567.1,342.59,299.77,0
1073741824,33554432,float,none,-1,3076.8,348.98,305.36,0
