size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,220.8,0.00,0.00,0
256,8,float,none,-1,221.9,0.00,0.00,0
512,16,float,none,-1,220.8,0.00,0.00,0
1024,32,float,none,-1,220.5,0.00,0.00,0
2048,64,float,none,-1,221.6,0.01,0.01,0
4096,128,float,none,-1,220.1,0.02,0.02,0
8192,256,float,none,-1,219.0,0.04,0.03,0
16384,512,float,none,-1,223.2,0.07,0.06,0
32768,1024,float,none,-1,223.4,0.15,0.13,0
65536,2048,float,none,-1,229.4,0.29,0.25,0
131072,4096,float,none,-1,263.6,0.50,0.44,0
262144,8192,float,none,-1,285.5,0.92,0.80,0
524288,16384,float,none,-1,343.1,1.53,1.34,0
1048576,32768,float,none,-1,433.8,2.42,2.12,0
2097152,65536,float,none,-1,636.4,3.30,2.88,0
4194304,131072,float,none,-1,1031.7,4.07,3.56,0
8388608,262144,float,none,-1,1803.8,4.65,4.07,0
16777216,524288,float,none,-1,3358.5,5.00,4.37,0
33554432,1048576,float,none,-1,6495.6,5.17,4.52,0
67108864,2097152,float,none,-1,13298,5.05,4.42,0
134217728,4194304,float,none,-1,25847,5.19,4.54,0
268435456,8388608,float,none,-1,50882,5.28,4.62,0
536870912,16777216,float,none,-1,101149,5.31,4.64,0
1073741824,33554432,float,none,-1,201541,5.33,4.66,0
2147483648,67108864,float,none,-1,402223,5.34,4.67,0
4294967296,134217728,float,none,-1,804626,5.34,4.67,0
