size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
128,4,float,none,-1,18.09,0.01,0.01,0
256,8,float,none,-1,17.67,0.01,0.01,0
512,16,float,none,-1,17.63,0.03,0.03,0
1024,32,float,none,-1,17.65,0.06,0.05,0
2048,64,float,none,-1,18.12,0.11,0.10,0
4096,128,float,none,-1,18.29,0.22,0.20,0
8192,256,float,none,-1,18.48,0.44,0.39,0
16384,512,float,none,-1,18.95,0.86,0.76,0
32768,1024,float,none,-1,19.21,1.71,1.49,0
65536,2048,float,none,-1,19.14,3.42,3.00,0
131072,4096,float,none,-1,19.40,6.76,5.91,0
262144,8192,float,none,-1,19.47,13.46,11.78,0
524288,16384,float,none,-1,33.29,15.75,13.78,0
1048576,32768,float,none,-1,35.37,29.65,25.94,0
2097152,65536,float,none,-1,39.41,53.22,46.57,0
4194304,131072,float,none,-1,46.94,89.36,78.19,0
8388608,262144,float,none,-1,59.83,140.20,122.68,0
16777216,524288,float,none,-1,96.07,174.64,152.81,0
33554432,1048576,float,none,-1,142.1,236.14,206.62,0
67108864,2097152,float,none,-1,236.2,284.15,248.63,0
134217728,4194304,float,none,-1,424.0,316.54,276.97,0
268435456,8388608,float,none,-1,807.5,332.42,290.86,0
536870912,16777216,float,none,-1,1567.6,342.48,299.67,0
1073741824,33554432,float,none,-1,3078.5,348.79,305.19,0
2147483648,67108864,float,none,-1,6078.0,353.32,309.16,0
4294967296,134217728,float,none,-1,12087,355.34,310.93,0
