size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,39.53,0.00,0.00,0
256,8,float,none,-1,39.47,0.01,0.01,0
512,16,float,none,-1,39.31,0.01,0.01,0
1024,32,float,none,-1,39.36,0.03,0.02,0
2048,64,float,none,-1,39.39,0.05,0.05,0
4096,128,float,none,-1,39.43,0.10,0.09,0
8192,256,float,none,-1,39.46,0.21,0.18,0
16384,512,float,none,-1,39.54,0.41,0.36,0
32768,1024,float,none,-1,39.41,0.83,0.73,0
65536,2048,float,none,-1,40.76,1.61,1.41,0
131072,4096,float,none,-1,43.02,3.05,2.67,0
262144,8192,float,none,-1,54.01,4.85,4.25,0
524288,16384,float,none,-1,85.22,6.15,5.38,0
1048576,32768,float,none,-1,128.0,8.19,7.17,0
2097152,65536,float,none,-1,211.5,9.92,8.68,0
4194304,131072,float,none,-1,374.4,11.20,9.80,0
8388608,262144,float,none,-1,701.3,11.96,10.47,0
16777216,524288,float,none,-1,1351.2,12.42,10.86,0
33554432,1048576,float,none,-1,2699.3,12.43,10.88,0
67108864,2097152,float,none,-1,5401.2,12.42,10.87,0
134217728,4194304,float,none,-1,10789,12.44,10.89,0
268435456,8388608,float,none,-1,21554,12.45,10.90,0
536870912,16777216,float,none,-1,43220,12.42,10.87,0
1073741824,33554432,float,none,-1,86520,12.41,10.86,0
2147483648,67108864,float,none,-1,173086,12.41,10.86,0
