size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
128,4,float,none,-1,18.25,0.01,0.01,0
256,8,float,none,-1,17.79,0.01,0.01,0
512,16,float,none,-1,17.71,0.03,0.03,0
1024,32,float,none,-1,17.79,0.06,0.05,0
2048,64,float,none,-1,18.21,0.11,0.10,0
4096,128,float,none,-1,18.36,0.22,0.20,0
8192,256,float,none,-1,18.60,0.44,0.39,0
16384,512,float,none,-1,18.98,0.86,0.76,0
32768,1024,float,none,-1,19.23,1.70,1.49,0
65536,2048,float,none,-1,19.31,3.39,2.97,0
131072,4096,float,none,-1,19.46,6.74,5.89,0
262144,8192,float,none,-1,19.40,13.51,11.82,0
524288,16384,float,none,-1,33.02,15.88,13.89,0
1048576,32768,float,none,-1,35.24,29.76,26.04,0
2097152,65536,float,none,-1,39.33,53.32,46.65,0
4194304,131072,float,none,-1,47.04,89.17,78.03,0
8388608,262144,float,none,-1,59.75,140.40,122.85,0
16777216,524288,float,none,-1,95.99,174.79,152.94,0
33554432,1048576,float,none,-1,142.1,236.12,206.60,0
67108864,2097152,float,none,-1,235.7,284.67,249.09,0
134217728,4194304,float,none,-1,423.6,316.82,277.22,0
268435456,8388608,float,none,-1,807.1,332.58,291.01,0
536870912,16777216,float,none,-1,1569.1,342.15,299.38,0
1073741824,33554432,float,none,-1,3079.4,348.68,305.10,0
2147483648,67108864,float,none,-1,6089.4,352.66,308.58,0
4294967296,134217728,float,none,-1,12076,355.65,311.19,0
