size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.01,0.01,0.01,0
256,8,float,none,-1,17.68,0.01,0.01,0
512,16,float,none,-1,17.56,0.03,0.03,0
1024,32,float,none,-1,17.64,0.06,0.05,0
2048,64,float,none,-1,18.14,0.11,0.10,0
4096,128,float,none,-1,18.32,0.22,0.20,0
8192,256,float,none,-1,18.48,0.44,0.39,0
16384,512,float,none,-1,18.92,0.87,0.76,0
32768,1024,float,none,-1,19.15,1.71,1.50,0
65536,2048,float,none,-1,19.24,3.41,2.98,0
131072,4096,float,none,-1,19.44,6.74,5.90,0
262144,8192,float,none,-1,19.39,13.52,11.83,0
524288,16384,float,none,-1,33.23,15.78,13.80,0
1048576,32768,float,none,-1,35.31,29.70,25.99,0
2097152,65536,float,none,-1,39.37,53.26,46.61,0
4194304,131072,float,none,-1,46.98,89.27,78.11,0
8388608,262144,float,none,-1,59.79,140.29,122.76,0
16777216,524288,float,none,-1,95.89,174.97,153.10,0
33554432,1048576,float,none,-1,142.0,236.25,206.72,0
67108864,2097152,float,none,-1,235.7,284.68,249.09,0
134217728,4194304,float,none,-1,423.6,316.87,277.26,0
268435456,8388608,float,none,-1,806.8,332.73,291.14,0
536870912,16777216,float,none,-1,1567.4,342.52,299.70,0
1073741824,33554432,float,none,-1,3077.4,348.91,305.30,0
2147483648,67108864,float,none,-1,6078.6,353.29,309.13,0
