size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
128,4,float,none,-1,35.72,0.00,0.00,0
256,8,float,none,-1,35.76,0.01,0.01,0
512,16,float,none,-1,35.25,0.01,0.01,0
1024,32,float,none,-1,35.11,0.03,0.03,0
2048,64,float,none,-1,35.68,0.06,0.05,0
4096,128,float,none,-1,35.27,0.12,0.10,0
8192,256,float,none,-1,35.80,0.23,0.20,0
16384,512,float,none,-1,35.45,0.46,0.40,0
32768,1024,float,none,-1,35.38,0.93,0.81,0
65536,2048,float,none,-1,36.79,1.78,1.56,0
131072,4096,float,none,-1,39.21,3.34,2.92,0
262144,8192,float,none,-1,50.27,5.21,4.56,0
524288,16384,float,none,-1,67.76,7.74,6.77,0
1048576,32768,float,none,-1,101.3,10.35,9.06,0
2097152,65536,float,none,-1,168.6,12.44,10.88,0
4194304,131072,float,none,-1,301.1,13.93,12.19,0
8388608,262144,float,none,-1,563.4,14.89,13.03,0
16777216,524288,float,none,-1,1062.2,15.79,13.82,0
33554432,1048576,float,none,-1,1840.5,18.23,15.95,0
67108864,2097152,float,none,-1,3436.6,19.53,17.09,0
134217728,4194304,float,none,-1,7088.9,18.93,16.57,0
268435456,8388608,float,none,-1,13633,19.69,17.23,0
536870912,16777216,float,none,-1,26445,20.30,17.76,0
1073741824,33554432,float,none,-1,52259,20.55,17.98,0
2147483648,67108864,float,none,-1,104246,20.60,18.03,0
4294967296,134217728,float,none,-1,207326,20.72,18.13,0
