size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.19,0.00,0.00,0
128,4,float,none,-1,18.14,0.01,0.01,0
256,8,float,none,-1,17.73,0.01,0.01,0
512,16,float,none,-1,17.74,0.03,0.03,0
1024,32,float,none,-1,17.68,0.06,0.05,0
2048,64,float,none,-1,18.18,0.11,0.10,0
4096,128,float,none,-1,18.30,0.22,0.20,0
8192,256,float,none,-1,18.61,0.44,0.39,0
16384,512,float,none,-1,18.96,0.86,0.76,0
32768,1024,float,none,-1,19.21,1.71,1.49,0
65536,2048,float,none,-1,19.50,3.36,2.94,0
131072,4096,float,none,-1,19.48,6.73,5.89,0
262144,8192,float,none,-1,19.41,13.50,11.82,0
524288,16384,float,none,-1,33.36,15.72,13.75,0
1048576,32768,float,none,-1,35.28,29.72,26.01,0
2097152,65536,float,none,-1,39.41,53.22,46.57,0
4194304,131072,float,none,-1,47.03,89.19,78.04,0
8388608,262144,float,none,-1,59.84,140.18,122.66,0
16777216,524288,float,none,-1,96.19,174.42,152.62,0
33554432,1048576,float,none,-1,142.6,235.36,205.94,0
67108864,2097152,float,none,-1,236.2,284.14,248.62,0
134217728,4194304,float,none,-1,424.0,316.55,276.98,0
268435456,8388608,float,none,-1,807.1,332.59,291.01,0
536870912,16777216,float,none,-1,1568.3,342.33,299.54,0
1073741824,33554432,float,none,-1,3079.1,348.72,305.13,0
2147483648,67108864,float,none,-1,6080.9,353.15,309.01,0
4294967296,134217728,float,none,-1,12138,353.85,309.62,0
