size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,none,-1,0.22,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.21,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
0,0,float,none,-1,0.20,0.00,0.00,0
256,4,float,none,-1,42.72,0.01,0.01,0
512,8,float,none,-1,40.77,0.01,0.01,0
1024,16,float,none,-1,40.96,0.02,0.02,0
2048,32,float,none,-1,40.89,0.05,0.05,0
4096,64,float,none,-1,41.27,0.10,0.09,0
8192,128,float,none,-1,41.31,0.20,0.19,0
16384,256,float,none,-1,41.45,0.40,0.37,0
32768,512,float,none,-1,42.61,0.77,0.72,0
65536,1024,float,none,-1,45.36,1.44,1.35,0
131072,2048,float,none,-1,45.42,2.89,2.71,0
262144,4096,float,none,-1,50.05,5.24,4.91,0
524288,8192,float,none,-1,69.97,7.49,7.02,0
1048576,16384,float,none,-1,109.1,9.62,9.01,0
2097152,32768,float,none,-1,191.4,10.96,10.27,0
4194304,65536,float,none,-1,226.8,18.49,17.34,0
8388608,131072,float,none,-1,495.4,16.93,15.88,0
16777216,262144,float,none,-1,513.8,32.65,30.61,0
33554432,524288,float,none,-1,514.9,65.16,61.09,0
67108864,1048576,float,none,-1,571.3,117.46,110.12,0
134217728,2097152,float,none,-1,609.1,220.35,206.58,0
268435456,4194304,float,none,-1,831.1,322.98,302.80,0
536870912,8388608,float,none,-1,1552.1,345.91,324.29,0
1073741824,16777216,float,none,-1,3058.2,351.10,329.16,0
2147483648,33554432,float,none,-1,6030.7,356.09,333.83,0
4294967296,67108864,float,none,-1,11889,361.27,338.69,0
